id,origen,destino,distancia,tiempo_estimado,costo,velocidad_promedio,congestion,disponible,incidentes,tipo_via,nombre_via,carriles,sentido_unico,peaje,restricciones,geometria
28457746#1,312644769,264441787,271.82139878629374,0.3261856785435525,0.0,30.0,baja,True,0,residencial,Carrera 16A,2.0,True,False,[],"[[-74.0576113, 4.6680844], [-74.0576415, 4.6680304], [-74.05784, 4.6676759], [-74.0578942, 4.6675791], [-74.057933, 4.6675099], [-74.0579673, 4.6674486], [-74.0581789, 4.6670707], [-74.0583685, 4.6667321], [-74.058432, 4.6666188], [-74.0588066, 4.6659498]]"
"[33973296, 31706073, 28457670]",312644769,312645326,320.52082449342004,0.38462498939210404,0.0,30.0,baja,True,0,residencial,Carrera 18,2.0,True,False,[],"[[-74.0576113, 4.6680844], [-74.0575889, 4.6681293], [-74.0573937, 4.6685232], [-74.0572455, 4.6688214], [-74.0570881, 4.6691386], [-74.0575048, 4.6693455], [-74.0576119, 4.6693987], [-74.0576253, 4.6693707], [-74.0576843, 4.6692478], [-74.0580774, 4.6684286], [-74.0580981, 4.6683855]]"
1059980070#1,312644769,312645171,65.12225823374376,0.07814670988049252,0.0,50.0,baja,True,0,secundaria,Calle 82,3.0,True,False,[],"[[-74.0576113, 4.6680844], [-74.0573663, 4.6679329], [-74.0571746, 4.667814], [-74.0571139, 4.6677727]]"
856995351,312644985,312645171,177.36080296222332,0.21283296355466796,0.0,30.0,baja,True,0,residencial,Carrera 16,2.0,True,False,[],"[[-74.0564102, 4.6692048], [-74.056478, 4.6690503], [-74.05655, 4.668886], [-74.0570884, 4.6678232], [-74.0571139, 4.6677727]]"
907224111,312644988,267899271,18.517950678696252,0.0222215408144355,0.0,30.0,baja,True,0,secundaria,Avenida Carrera 15,3.0,True,False,[],
89601294,312644988,7990226357,74.7672952448564,0.08972075429382767,0.0,30.0,baja,True,0,residencial,Calle 84A,1.0,True,False,[],"[[-74.055642, 4.6692803], [-74.0557243, 4.6693219], [-74.0559955, 4.6694588], [-74.0562438, 4.6695842]]"
"[89606524, 1079835926]",312645171,312645244,269.09728330450963,0.32291673996541154,0.0,30.0,baja,True,0,residencial,Carrera 16,2.0,True,False,[],"[[-74.0571139, 4.6677727], [-74.0571449, 4.6677177], [-74.0574288, 4.6672138], [-74.0576719, 4.6667824], [-74.058301, 4.6656616]]"
1079835928,312645171,12596010814,73.40140362459165,0.08808168434950998,0.0,50.0,baja,True,0,secundaria,Calle 82,3.0,True,False,[],"[[-74.0571139, 4.6677727], [-74.0570513, 4.6677333], [-74.0568913, 4.6676327], [-74.0566668, 4.6674913], [-74.0566256, 4.6674654], [-74.0565538, 4.6674204]]"
89615994#1,312645244,264441787,64.55084724568826,0.07746101669482591,0.0,30.0,baja,True,0,residencial,Calle 79,2.0,True,False,[],"[[-74.058301, 4.6656616], [-74.0584857, 4.6657678], [-74.0587199, 4.6659004], [-74.0588066, 4.6659498]]"
89615994#2,312645325,5709996738,80.1268893663277,0.09615226723959325,0.0,30.0,baja,True,0,residencial,Calle 79,2.0,True,False,[],
679999222,312645325,803824122,81.3713047886577,0.09764556574638923,0.0,30.0,baja,True,0,residencial,Carrera 18,2.0,True,False,[],
1059980070#2,312645326,312644769,63.494808471400574,0.07619377016568069,0.0,50.0,baja,True,0,secundaria,Calle 82,3.0,True,False,[],
66315672,312645765,312644663,134.10697050460263,0.16092836460552315,0.0,30.0,baja,True,0,residencial,Carrera 19,2.0,True,False,[],"[[-74.0591973, 4.667648], [-74.0591592, 4.6677173], [-74.0586393, 4.6686614], [-74.0586155, 4.6687055]]"
1214872517#1,312645765,260623191,67.59106010583741,0.08110927212700489,0.0,30.0,baja,True,0,residencial,Calle 80,1.0,False,False,[],"[[-74.0591973, 4.667648], [-74.059338, 4.6677224], [-74.0597361, 4.6679328]]"
89615879,312645962,312645998,34.20365200760524,0.04104438240912629,0.0,30.0,baja,True,0,residencial,Calle 78,2.0,False,False,[],
89615879#1,312645962,312645997,65.99082395037433,0.0791889887404492,0.0,30.0,baja,True,0,residencial,Calle 78,2.0,False,False,[],
679999222#1,312645962,312645325,125.27677454755062,0.15033212945706076,0.0,30.0,baja,True,0,residencial,Carrera 18,2.0,True,False,[],
89615879#2,312645997,312645962,65.99082395037433,0.0791889887404492,0.0,30.0,baja,True,0,residencial,Calle 78,2.0,False,False,[],
28457746#2,312645997,264441789,68.76506388239576,0.08251807665887492,0.0,30.0,baja,True,0,residencial,Carrera 16A,2.0,True,False,[],"[[-74.0593505, 4.6649786], [-74.059607, 4.6645205], [-74.0596239, 4.6644903], [-74.0596386, 4.664464], [-74.0596529, 4.6644386]]"
89615879#3,312645998,312645962,34.20365200760524,0.04104438240912629,0.0,30.0,baja,True,0,residencial,Calle 78,2.0,False,False,[],
89615987,312645998,5709996738,134.7371830201357,0.16168461962416283,0.0,30.0,baja,True,0,residencial,Carrera 19A,2.0,True,False,[],"[[-74.0601446, 4.6654093], [-74.0599912, 4.6662845], [-74.0599871, 4.6663081], [-74.0599556, 4.6664912], [-74.0599493, 4.6665276], [-74.0599363, 4.6666031]]"
