id,nombre,latitud,longitud,tipo,accesible
266892197,Nodo 266892197,4.6522416,-74.058668,interseccion,True
266892205,Nodo 266892205,4.6531967,-74.0572832,interseccion,True
266892225,Nodo 266892225,4.6518303,-74.0581355,interseccion,True
266892231,Nodo 266892231,4.6536321,-74.060311,interseccion,True
267890873,Nodo 267890873,4.6660263,-74.0563652,interseccion,True
267890875,Nodo 267890875,4.6652665,-74.0552792,interseccion,True
267890876,Nodo 267890876,4.664816,-74.0546528,interseccion,True
267890877,Nodo 267890877,4.6655534,-74.0556574,interseccion,True
267890881,Nodo 267890881,4.662681,-74.0574656,interseccion,True
267890883,Nodo 267890883,4.6634781,-74.0574387,interseccion,True
267890885,Nodo 267890885,4.6642542,-74.0569649,interseccion,True
267890886,Nodo 267890886,4.6658051,-74.0560199,interseccion,True
267890887,Nodo 267890887,4.6631242,-74.0521916,interseccion,True
267890888,Nodo 267890888,4.6623663,-74.0526857,interseccion,True
267899265,Nodo 267899265,4.6669213,-74.0549244,interseccion,True
267899270,Nodo 267899270,4.6686557,-74.0539671,interseccion,True
267899271,Nodo 267899271,4.6694311,-74.0555711,interseccion,True
267899274,Nodo 267899274,4.6689679,-74.0546134,interseccion,True
267899275,Nodo 267899275,4.6691939,-74.0550808,interseccion,True
267899276,Nodo 267899276,4.667513,-74.0558934,interseccion,True
267899279,Nodo 267899279,4.664154,-74.049732,interseccion,True
267899280,Nodo 267899280,4.6651275,-74.0506528,interseccion,True
267899287,Nodo 267899287,4.6642189,-74.049654,interseccion,True
267899288,Nodo 267899288,4.6650234,-74.050412,interseccion,True
267899291,Nodo 267899291,4.6664364,-74.0541302,interseccion,True
267899293,Nodo 267899293,4.6676716,-74.0530186,interseccion,True
267899316,Nodo 267899316,4.6561342,-74.0548156,interseccion,True
267899323,Nodo 267899323,4.6597784,-74.054396,interseccion,True
267899340,Nodo 267899340,4.667743,-74.0529375,interseccion,True
267899342,Nodo 267899342,4.6684303,-74.0524148,interseccion,True
267902561,Nodo 267902561,4.6705069,-74.0539442,interseccion,True
267902562,Nodo 267902562,4.6695926,-74.05443,interseccion,True
267902565,Nodo 267902565,4.6703594,-74.0530209,interseccion,True
268083089,Nodo 268083089,4.6705726,-74.0564303,interseccion,True
268083090,Nodo 268083090,4.6706769,-74.0563618,interseccion,True
268083092,Nodo 268083092,4.6715817,-74.058512,interseccion,True
268083093,Nodo 268083093,4.6716924,-74.0584606,interseccion,True
268152908,Nodo 268152908,4.6665023,-74.06483,interseccion,True
268152921,Nodo 268152921,4.671805,-74.0696711,interseccion,True
268153039,Nodo 268153039,4.669271,-74.0634079,interseccion,True
268153045,Nodo 268153045,4.662627,-74.0664241,interseccion,True
268153063,Nodo 268153063,4.6686738,-74.0606115,interseccion,True
268230382,Nodo 268230382,4.6533079,-74.0599441,interseccion,True
268230525,Nodo 268230525,4.6526275,-74.0629836,interseccion,True
268230526,Nodo 268230526,4.6515381,-74.0608964,interseccion,True
268231703,Nodo 268231703,4.6546053,-74.0579141,interseccion,True
268231713,Nodo 268231713,4.6551582,-74.0575431,interseccion,True
268231793,Nodo 268231793,4.6546141,-74.061416,interseccion,True
268231795,Nodo 268231795,4.6545852,-74.0626256,interseccion,True
268231798,Nodo 268231798,4.6543753,-74.0619082,interseccion,True
268231809,Nodo 268231809,4.6541256,-74.0627019,interseccion,True
268231810,Nodo 268231810,4.6535093,-74.0610681,interseccion,True
268231829,Nodo 268231829,4.6538174,-74.061886,interseccion,True
268231867,Nodo 268231867,4.6578245,-74.0598375,interseccion,True
268231899,Nodo 268231899,4.6569041,-74.060447,interseccion,True
268383664,Nodo 268383664,4.6539836,-74.0688668,interseccion,True
268383722,Nodo 268383722,4.6559797,-74.049055,interseccion,True
269720678,Nodo 269720678,4.657958,-74.0500172,interseccion,True
269720739,Nodo 269720739,4.6581973,-74.0503977,interseccion,True
269720740,Nodo 269720740,4.658316,-74.0504614,interseccion,True
278365681,Nodo 278365681,4.6511931,-74.0674312,interseccion,True
283253380,Nodo 283253380,4.6562737,-74.066909,interseccion,True
283255674,Nodo 283255674,4.6614304,-74.0625506,interseccion,True
283255680,Nodo 283255680,4.6581635,-74.0645613,interseccion,True
283255682,Nodo 283255682,4.657274,-74.0651105,interseccion,True
283255690,Nodo 283255690,4.6557514,-74.0660737,interseccion,True
283342319,Nodo 283342319,4.6525852,-74.0662721,interseccion,True
283342322,Nodo 283342322,4.6530787,-74.0670773,interseccion,True
283342323,Nodo 283342323,4.6542998,-74.0705641,interseccion,True
283342324,Nodo 283342324,4.6544987,-74.0691391,interseccion,True
283342327,Nodo 283342327,4.6535784,-74.0678735,interseccion,True
283342329,Nodo 283342329,4.6514585,-74.0688009,interseccion,True
283342330,Nodo 283342330,4.6513563,-74.0682722,interseccion,True
308238253,Nodo 308238253,4.6625124,-74.0525942,interseccion,True
308238350,Nodo 308238350,4.6608391,-74.0508517,interseccion,True
308238457,Nodo 308238457,4.662129,-74.0528424,interseccion,True
308238542,Nodo 308238542,4.6607348,-74.0509613,interseccion,True
309297260,Nodo 309297260,4.6665935,-74.0507886,interseccion,True
309297320,Nodo 309297320,4.6662219,-74.0511856,interseccion,True
309297385,Nodo 309297385,4.6662409,-74.0552952,interseccion,True
309297394,Nodo 309297394,4.6722517,-74.0527504,interseccion,True
309298297,Nodo 309298297,4.6704242,-74.0558427,interseccion,True
309298536,Nodo 309298536,4.6708404,-74.0616948,interseccion,True
309298537,Nodo 309298537,4.6710516,-74.0631059,interseccion,True
309298977,Nodo 309298977,4.6588195,-74.0501716,interseccion,True
309299184,Nodo 309299184,4.6508417,-74.0543203,interseccion,True
310000051,Nodo 310000051,4.6709307,-74.0568856,interseccion,True
310000063,Nodo 310000063,4.6711924,-74.0574242,interseccion,True
310000249,Nodo 310000249,4.6575194,-74.0635797,interseccion,True
310000257,Nodo 310000257,4.6586409,-74.0633895,interseccion,True
310000260,Nodo 310000260,4.6595322,-74.0667674,interseccion,True
310666305,Nodo 310666305,4.6549316,-74.0697658,interseccion,True
310666402,Nodo 310666402,4.6532133,-74.0700625,interseccion,True
310666444,Nodo 310666444,4.6518533,-74.0663976,interseccion,True
310666529,Nodo 310666529,4.6551471,-74.0696558,interseccion,True
310666531,Nodo 310666531,4.6542489,-74.0682168,interseccion,True
310666622,Nodo 310666622,4.6554247,-74.0655671,interseccion,True
310666711,Nodo 310666711,4.6542133,-74.0649105,interseccion,True
310666712,Nodo 310666712,4.6547107,-74.0656873,interseccion,True
310666802,Nodo 310666802,4.6556857,-74.0672835,interseccion,True
311342355,Nodo 311342355,4.6523686,-74.0547465,interseccion,True
311342541,Nodo 311342541,4.6518729,-74.0550549,interseccion,True
311342544,Nodo 311342544,4.6512799,-74.0540274,interseccion,True
311361335,Nodo 311361335,4.6527643,-74.0545004,interseccion,True
311366871,Nodo 311366871,4.652624,-74.0519675,interseccion,True
311370574,Nodo 311370574,4.6575946,-74.0512757,interseccion,True
311370575,Nodo 311370575,4.6576584,-74.0510998,interseccion,True
311370730,Nodo 311370730,4.6600352,-74.0499218,interseccion,True
311370734,Nodo 311370734,4.6592457,-74.0507919,interseccion,True
311373461,Nodo 311373461,4.6638274,-74.0532114,interseccion,True
311373884,Nodo 311373884,4.6629123,-74.0523311,interseccion,True
311374412,Nodo 311374412,4.6681792,-74.0496656,interseccion,True
311374484,Nodo 311374484,4.6681052,-74.0497058,interseccion,True
311375156,Nodo 311375156,4.6716326,-74.052284,interseccion,True
312644643,Nodo 312644643,4.6690185,-74.0591111,interseccion,True
312644663,Nodo 312644663,4.6687055,-74.0586155,interseccion,True
312644664,Nodo 312644664,4.6696628,-74.0581597,interseccion,True
312644720,Nodo 312644720,4.6704863,-74.0590549,interseccion,True
312644737,Nodo 312644737,4.6698919,-74.0593617,interseccion,True
312644769,Nodo 312644769,4.6680844,-74.0576113,interseccion,True
312644985,Nodo 312644985,4.6692048,-74.0564102,interseccion,True
312644988,Nodo 312644988,4.6692803,-74.055642,interseccion,True
312645171,Nodo 312645171,4.6677727,-74.0571139,interseccion,True
312645244,Nodo 312645244,4.6656616,-74.058301,interseccion,True
312645325,Nodo 312645325,4.66624,-74.0593118,interseccion,True
312645326,Nodo 312645326,4.6683855,-74.0580981,interseccion,True
312645765,Nodo 312645765,4.667648,-74.0591973,interseccion,True
312645962,Nodo 312645962,4.6652623,-74.0598735,interseccion,True
312645997,Nodo 312645997,4.6649786,-74.0593505,interseccion,True
312645998,Nodo 312645998,4.6654093,-74.0601446,interseccion,True
312646818,Nodo 312646818,4.6618739,-74.0509608,interseccion,True
312648919,Nodo 312648919,4.6651844,-74.0520645,interseccion,True
312649085,Nodo 312649085,4.6623908,-74.0603437,interseccion,True
